Date,Open,High,Low,Close,Volume
2022-01-03T09:15:00+05:30,17550.000000,17558.800000,17472.650000,17545.050000,39750
2022-01-03T09:30:00+05:30,17545.050000,17552.900000,17530.000000,17541.050000,9900
2022-01-03T09:45:00+05:30,17541.000000,17571.800000,17540.100000,17570.000000,17300
2022-01-03T10:00:00+05:30,17569.900000,17578.000000,17563.350000,17575.900000,10950
2022-01-03T10:15:00+05:30,17575.900000,17593.000000,17564.200000,17591.200000,9550
2022-01-03T10:30:00+05:30,17591.200000,17598.300000,17586.850000,17590.050000,7250
2022-01-03T10:45:00+05:30,17590.050000,17603.050000,17586.150000,17598.050000,13200
2022-01-03T11:00:00+05:30,17598.050000,17610.000000,17593.750000,17609.850000,7450
2022-01-03T11:15:00+05:30,17609.850000,17615.000000,17601.850000,17610.000000,8600
2022-01-03T11:30:00+05:30,17611.750000,17613.750000,17601.000000,17611.950000,4900
2022-01-03T11:45:00+05:30,17611.950000,17611.950000,17602.350000,17609.900000,4400
2022-01-03T12:00:00+05:30,17609.900000,17613.950000,17600.300000,17610.000000,3600
2022-01-03T12:15:00+05:30,17610.000000,17628.150000,17609.050000,17627.500000,9500
2022-01-03T12:30:00+05:30,17627.500000,17668.000000,17626.050000,17655.000000,17250
2022-01-03T12:45:00+05:30,17655.000000,17660.000000,17642.300000,17653.800000,12700
2022-01-03T13:00:00+05:30,17653.800000,17662.950000,17650.000000,17659.000000,7450
2022-01-03T13:15:00+05:30,17659.000000,17672.600000,17659.000000,17665.000000,7500
2022-01-03T13:30:00+05:30,17665.000000,17666.050000,17652.350000,17662.200000,4950
2022-01-03T13:45:00+05:30,17662.200000,17683.100000,17662.200000,17683.100000,9700
2022-01-03T14:00:00+05:30,17683.100000,17706.700000,17680.000000,17703.000000,11150
2022-01-03T14:15:00+05:30,17703.000000,17720.000000,17697.400000,17715.000000,15350
2022-01-03T14:30:00+05:30,17715.000000,17732.000000,17706.100000,17728.000000,15250
2022-01-03T14:45:00+05:30,17728.000000,17730.000000,17700.350000,17705.000000,11100
2022-01-03T15:00:00+05:30,17705.000000,17720.850000,17698.000000,17718.400000,8900
2022-01-03T15:15:00+05:30,17718.400000,17737.000000,17714.900000,17737.000000,21000
2022-01-04T09:15:00+05:30,17730.000000,17800.000000,17730.000000,17778.950000,49850
2022-01-04T09:30:00+05:30,17777.000000,17782.450000,17677.000000,17733.050000,42700
2022-01-04T09:45:00+05:30,17733.050000,17785.850000,17733.050000,17782.150000,16650
2022-01-04T10:00:00+05:30,17782.150000,17806.150000,17774.350000,17806.150000,22500
2022-01-04T10:15:00+05:30,17807.000000,17816.000000,17785.850000,17796.000000,15300
2022-01-04T10:30:00+05:30,17796.000000,17809.800000,17777.500000,17777.500000,9850
2022-01-04T10:45:00+05:30,17777.500000,17802.700000,17770.250000,17801.000000,11250
2022-01-04T11:00:00+05:30,17801.000000,17805.000000,17778.200000,17782.000000,5300
2022-01-04T11:15:00+05:30,17780.000000,17789.900000,17750.700000,17771.600000,12150
2022-01-04T11:30:00+05:30,17770.000000,17798.650000,17761.100000,17796.250000,7950
2022-01-04T11:45:00+05:30,17796.250000,17805.000000,17785.000000,17796.200000,7500
2022-01-04T12:00:00+05:30,17796.200000,17814.400000,17790.050000,17813.700000,9800
2022-01-04T12:15:00+05:30,17815.000000,17816.000000,17797.100000,17810.000000,9250
2022-01-04T12:30:00+05:30,17810.000000,17824.900000,17802.000000,17821.700000,12200
2022-01-04T12:45:00+05:30,17821.700000,17825.000000,17802.000000,17813.000000,4150
2022-01-04T13:00:00+05:30,17813.000000,17818.000000,17790.000000,17795.600000,5700
2022-01-04T13:15:00+05:30,17795.600000,17806.150000,17781.800000,17800.000000,9400
2022-01-04T13:30:00+05:30,17800.000000,17809.000000,17767.000000,17769.450000,9650
2022-01-04T13:45:00+05:30,17769.450000,17798.000000,17760.000000,17795.350000,6450
2022-01-04T14:00:00+05:30,17795.350000,17814.050000,17792.600000,17808.000000,8650
2022-01-04T14:15:00+05:30,17808.000000,17826.050000,17808.000000,17820.000000,8800
2022-01-04T14:30:00+05:30,17820.000000,17860.000000,17820.000000,17859.000000,16050
2022-01-04T14:45:00+05:30,17860.000000,17868.800000,17852.050000,17867.900000,14050
