Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
NIFTY,75,2020-12-24,2021-01-22,2021-01-21,80,135
NIFTY,75,2021-01-22,2021-02-19,2021-02-18,80,135
NIFTY,75,2021-02-19,2021-03-19,2021-03-18,80,135
NIFTY,75,2021-03-19,2021-04-23,2021-04-22,80,135
NIFTY,75,2021-04-23,2021-05-21,2021-05-20,80,135
NIFTY,75,2021-05-21,2021-06-18,2021-06-17,80,135
NIFTY,50,2021-06-18,2021-07-23,2021-07-22,120,200
NIFTY,50,2021-07-23,2021-08-19,2021-08-18,120,200
NIFTY,50,2021-08-19,2021-09-24,2021-09-23,120,200
NIFTY,50,2021-09-24,2021-10-22,2021-10-21,120,200
NIFTY,50,2021-10-22,2021-11-19,2021-11-18,120,200
NIFTY,50,2021-11-19,2021-12-24,2021-12-23,120,200
