Sym,LotSize,Start,End,Expiry
NIFTY,75,2017-12-22,2018-01-19,2018-01-18
NIFTY,75,2018-01-19,2018-02-16,2018-02-15
NIFTY,75,2018-02-16,2018-03-23,2018-03-22
NIFTY,75,2018-03-23,2018-04-20,2018-04-19
NIFTY,75,2018-04-20,2018-05-25,2018-05-24
NIFTY,75,2018-05-25,2018-06-22,2018-06-21
NIFTY,75,2018-06-22,2018-07-20,2018-07-19
NIFTY,75,2018-07-20,2018-08-24,2018-08-23
NIFTY,75,2018-08-24,2018-09-20,2018-09-19
NIFTY,75,2018-09-20,2018-10-18,2018-10-17
NIFTY,75,2018-10-18,2018-11-23,2018-11-22
NIFTY,75,2018-11-23,2018-12-21,2018-12-20
