Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
NIFTY22JANFUT,50,2021-12-24,2022-01-26,2022-01-25,120,200
NIFTY22FEBFUT,50,2022-01-26,2022-02-25,2022-02-24,120,200
NIFTY22MARFUT,50,2022-02-25,2022-03-01,2022-03-01,120,200
