Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
BANKNIFTY,25,2020-12-24,2021-01-22,2021-01-21,200,400
BANKNIFTY,25,2021-01-22,2021-02-19,2021-02-18,200,480
BANKNIFTY,25,2021-02-19,2021-03-19,2021-03-18,200,480
BANKNIFTY,25,2021-03-19,2021-04-23,2021-04-22,200,480
BANKNIFTY,25,2021-04-23,2021-05-21,2021-05-20,200,480
BANKNIFTY,25,2021-05-21,2021-06-18,2021-06-17,200,480
BANKNIFTY,25,2021-06-18,2021-07-23,2021-07-22,200,480
BANKNIFTY,25,2021-07-23,2021-08-19,2021-08-18,200,480
BANKNIFTY,25,2021-08-19,2021-09-24,2021-09-23,200,480
BANKNIFTY,25,2021-09-24,2021-10-22,2021-10-21,200,480
BANKNIFTY,25,2021-10-22,2021-11-19,2021-11-18,200,480
BANKNIFTY,25,2021-11-19,2021-12-24,2021-12-23,200,480
