Sym,LotSize,Start,End,RSI,ADXMin,ADXMax,StopLoss,StopGain
IDEA,70000,2021-01-01,2022-01-01,70,30,40,6500,13000
IDFCFIRSTB,11100,2021-01-01,2022-01-01,70,30,40,6500,13000
IEX,3750,2021-01-01,2022-01-01,70,30,40,6500,13000
INDHOTEL,4022,2021-01-01,2022-01-01,70,30,40,6500,13000
INDIACEM,2900,2021-01-01,2022-01-01,70,30,40,6500,13000
INDIAMART,75,2021-01-01,2022-01-01,70,30,40,6500,13000
INDIGO,250,2021-01-01,2022-01-01,70,30,40,6500,13000
INDUSINDBK,900,2021-01-01,2022-01-01,70,30,40,6500,13000
INDUSTOWER,2800,2021-01-01,2022-01-01,70,30,40,6500,13000
INFY,300,2021-01-01,2022-01-01,70,30,40,6500,13000
IOC,6500,2021-01-01,2022-01-01,70,30,40,6500,13000
IPCALAB,225,2021-01-01,2022-01-01,70,30,40,6500,13000
IRCTC,875,2021-01-01,2022-01-01,70,30,40,6500,13000
ITC,3200,2021-01-01,2022-01-01,70,30,40,6500,13000
JINDALSTEL,2500,2021-01-01,2022-01-01,70,30,40,6500,13000
JKCEMENT,175,2021-01-01,2022-01-01,70,30,40,6500,13000
JSWSTEEL,1350,2021-01-01,2022-01-01,70,30,40,6500,13000
JUBLFOOD,125,2021-01-01,2022-01-01,70,30,40,6500,13000
KOTAKBANK,400,2021-01-01,2022-01-01,70,30,40,6500,13000
L&TFH,8924,2021-01-01,2022-01-01,70,30,40,6500,13000
LALPATHLAB,125,2021-01-01,2022-01-01,70,30,40,6500,13000
LAURUSLABS,900,2021-01-01,2022-01-01,70,30,40,6500,13000
LICHSGFIN,2000,2021-01-01,2022-01-01,70,30,40,6500,13000
LT,575,2021-01-01,2022-01-01,70,30,40,6500,13000
LTI,150,2021-01-01,2022-01-01,70,30,40,6500,13000
LTTS,200,2021-01-01,2022-01-01,70,30,40,6500,13000
LUPIN,850,2021-01-01,2022-01-01,70,30,40,6500,13000
M&M,700,2021-01-01,2022-01-01,70,30,40,6500,13000
M&MFIN,4000,2021-01-01,2022-01-01,70,30,40,6500,13000
MANAPPURAM,3000,2021-01-01,2022-01-01,70,30,40,6500,13000
MARICO,1000,2021-01-01,2022-01-01,70,30,40,6500,13000
MARUTI,100,2021-01-01,2022-01-01,70,30,40,6500,13000
MCDOWELL-N,1250,2021-01-01,2022-01-01,70,30,40,6500,13000
MCX,350,2021-01-01,2022-01-01,70,30,40,6500,13000
METROPOLIS,200,2021-01-01,2022-01-01,70,30,40,6500,13000
MFSL,650,2021-01-01,2022-01-01,70,30,40,6500,13000
MGL,600,2021-01-01,2022-01-01,70,30,40,6500,13000
MINDTREE,200,2021-01-01,2022-01-01,70,30,40,6500,13000
MOTHERSUMI,3500,2021-01-01,2022-01-01,70,30,40,6500,13000
MPHASIS,175,2021-01-01,2022-01-01,70,30,40,6500,13000
MRF,10,2021-01-01,2022-01-01,70,30,40,6500,13000
MUTHOOTFIN,375,2021-01-01,2022-01-01,70,30,40,6500,13000
NAM-INDIA,1600,2021-01-01,2022-01-01,70,30,40,6500,13000
NATIONALUM,8500,2021-01-01,2022-01-01,70,30,40,6500,13000
NAUKRI,125,2021-01-01,2022-01-01,70,30,40,6500,13000
NAVINFLUOR,225,2021-01-01,2022-01-01,70,30,40,6500,13000
NESTLEIND,25,2021-01-01,2022-01-01,70,30,40,6500,13000
NIFTY,100,2021-01-01,2022-01-01,70,30,40,6500,13000
NMDC,6700,2021-01-01,2022-01-01,70,30,40,6500,13000
NTPC,5700,2021-01-01,2022-01-01,70,30,40,6500,13000
OBEROIRLTY,700,2021-01-01,2022-01-01,70,30,40,6500,13000
OFSS,125,2021-01-01,2022-01-01,70,30,40,6500,13000
ONGC,7700,2021-01-01,2022-01-01,70,30,40,6500,13000
PAGEIND,30,2021-01-01,2022-01-01,70,30,40,6500,13000
PEL,275,2021-01-01,2022-01-01,70,30,40,6500,13000
PERSISTENT,150,2021-01-01,2022-01-01,70,30,40,6500,13000
PETRONET,3000,2021-01-01,2022-01-01,70,30,40,6500,13000
PFC,6200,2021-01-01,2022-01-01,70,30,40,6500,13000
PFIZER,125,2021-01-01,2022-01-01,70,30,40,6500,13000
PIDILITIND,250,2021-01-01,2022-01-01,70,30,40,6500,13000
PIIND,250,2021-01-01,2022-01-01,70,30,40,6500,13000
PNB,16000,2021-01-01,2022-01-01,70,30,40,6500,13000
POLYCAB,300,2021-01-01,2022-01-01,70,30,40,6500,13000
POWERGRID,5333,2021-01-01,2022-01-01,70,30,40,6500,13000
PVR,407,2021-01-01,2022-01-01,70,30,40,6500,13000
RAMCOCEM,850,2021-01-01,2022-01-01,70,30,40,6500,13000
RBLBANK,2900,2021-01-01,2022-01-01,70,30,40,6500,13000
RECLTD,6000,2021-01-01,2022-01-01,70,30,40,6500,13000
RELIANCE,250,2021-01-01,2022-01-01,70,30,40,6500,13000
SAIL,4750,2021-01-01,2022-01-01,70,30,40,6500,13000
SBICARD,500,2021-01-01,2022-01-01,70,30,40,6500,13000
