Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
BANKNIFTY22JANFUT,25,2021-12-24,2022-01-21,2022-01-20,200,400
BANKNIFTY22FEBFUT,25,2022-01-21,2022-02-05,2022-02-04,200,400
