Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
BANKNIFTY,25,2017-12-22,2018-01-19,2018-01-18,200,135
BANKNIFTY,25,2018-01-19,2018-02-16,2018-02-15,200,135
BANKNIFTY,25,2018-02-16,2018-03-23,2018-03-22,200,135
BANKNIFTY,25,2018-03-23,2018-04-20,2018-04-19,200,135
BANKNIFTY,25,2018-04-20,2018-05-25,2018-05-24,200,135
BANKNIFTY,25,2018-05-25,2018-06-22,2018-06-21,200,135
BANKNIFTY,25,2018-06-22,2018-07-20,2018-07-19,200,135
BANKNIFTY,25,2018-07-20,2018-08-24,2018-08-23,200,135
BANKNIFTY,25,2018-08-24,2018-09-20,2018-09-19,200,135
BANKNIFTY,25,2018-09-20,2018-10-18,2018-10-17,200,135
BANKNIFTY,25,2018-10-18,2018-11-23,2018-11-22,200,135
BANKNIFTY,25,2018-11-23,2018-12-21,2018-12-20,200,135
